candidate_id,rank_cur,final_score_cur,rank_prev,final_score_prev,rank_move
CAND_0055905,1,0.9021925926208496,1,0.9021925926208496,0
CAND_0077337,2,0.8864375352859497,2,0.8864375352859497,0
CAND_0079387,3,0.8674020767211914,3,0.8674020767211914,0
CAND_0033861,4,0.8067996501922607,4,0.8067996501922607,0
CAND_0030953,5,0.7983386516571045,5,0.7983386516571045,0
CAND_0010685,6,0.7702119946479797,6,0.7702119946479797,0
CAND_0086151,7,0.768044650554657,7,0.768044650554657,0
CAND_0060054,8,0.7432960271835327,8,0.7432960271835327,0
CAND_0081846,9,0.7417537569999695,9,0.7417537569999695,0
CAND_0044883,10,0.7381608486175537,10,0.7381608486175537,0
CAND_0043228,11,0.7288960814476013,11,0.7288960814476013,0
CAND_0061265,12,0.7241960167884827,12,0.7241960167884827,0
CAND_0046064,13,0.7218663096427917,13,0.7218663096427917,0
CAND_0008425,14,0.7210674285888672,14,0.7210674285888672,0
CAND_0080766,15,0.7032555341720581,15,0.7032555341720581,0
CAND_0044855,16,0.7025431990623474,16,0.7025431990623474,0
CAND_0026532,17,0.7017027735710144,17,0.7017027735710144,0
CAND_0054123,18,0.7017027735710144,18,0.7017027735710144,0
CAND_0005649,19,0.7003911733627319,19,0.7003911733627319,0
CAND_0096172,20,0.6949415802955627,20,0.6949415802955627,0
CAND_0094759,21,0.6864850521087646,21,0.6864850521087646,0
CAND_0092278,22,0.6861552596092224,22,0.6861552596092224,0
CAND_0071974,23,0.675043523311615,23,0.675043523311615,0
CAND_0051292,24,0.6724770069122314,24,0.6724770069122314,0
CAND_0066376,25,0.6686054468154907,25,0.6686054468154907,0
CAND_0028793,26,0.6455416083335876,26,0.6455416083335876,0
CAND_0081686,27,0.6405887603759766,27,0.6405887603759766,0
CAND_0027691,28,0.6404495239257812,28,0.6404495239257812,0
CAND_0083307,29,0.6323633790016174,29,0.6323633790016174,0
CAND_0093912,30,0.5962706804275513,30,0.5962706804275513,0
CAND_0070398,31,0.5899304747581482,31,0.5899304747581482,0
CAND_0001610,32,0.5827833414077759,32,0.5827833414077759,0
CAND_0062247,33,0.5724000334739685,33,0.5724000334739685,0
CAND_0030348,34,0.563705563545227,34,0.563705563545227,0
CAND_0041611,35,0.5589052438735962,35,0.5589052438735962,0
CAND_0018499,36,0.5470283031463623,36,0.5470283031463623,0
CAND_0030827,37,0.5440562963485718,37,0.5440562963485718,0
CAND_0075249,38,0.5416231751441956,38,0.5416231751441956,0
CAND_0036184,39,0.5261859893798828,39,0.5261859893798828,0
CAND_0005260,40,0.5155829787254333,40,0.5155829787254333,0
CAND_0002025,41,0.5084719657897949,41,0.5084719657897949,0
CAND_0076904,42,0.5069591999053955,42,0.5069591999053955,0
CAND_0016163,43,0.5056479573249817,43,0.5056479573249817,0
CAND_0027801,44,0.5022175312042236,44,0.5022175312042236,0
CAND_0068811,45,0.49741488695144653,45,0.49741488695144653,0
CAND_0039383,46,0.49256062507629395,46,0.49256062507629395,0
CAND_0057563,47,0.4878491163253784,47,0.4878491163253784,0
CAND_0046525,48,0.48044446110725403,48,0.48044446110725403,0
CAND_0086022,49,0.47308531403541565,49,0.47308531403541565,0
CAND_0029367,50,0.4663031995296478,50,0.4663031995296478,0
