candidate_id,rank_cur,final_score_cur,rank_prev,final_score_prev,rank_move
CAND_0097082,22756,0.03992040455341339,98014,0.0,75258
CAND_0099825,25341,0.029791880398988724,99879,0.0,74538
CAND_0099977,26167,0.02403896115720272,99984,0.0,73817
CAND_0099367,27247,0.019251998513936996,99562,0.0,72315
CAND_0098438,26696,0.021407999098300934,98932,0.0,72236
CAND_0098884,27149,0.01952899992465973,99225,0.0,72076
CAND_0098540,27026,0.0200360007584095,99002,0.0,71976
CAND_0094728,24409,0.035145003348588943,96384,0.0,71975
CAND_0098689,27223,0.019349999725818634,99106,0.0,71883
CAND_0099335,27704,0.017782000824809074,99537,0.0,71833
CAND_0099605,28269,0.016606001183390617,99725,0.0,71456
CAND_0097199,26724,0.021379241719841957,98089,0.0,71365
CAND_0098519,27740,0.017683999612927437,98986,0.0,71246
CAND_0099812,28656,0.01601800136268139,99875,0.0,71219
CAND_0098695,28268,0.016606001183390617,99109,0.0,70841
CAND_0096904,27041,0.019991561770439148,97879,0.0,70838
CAND_0098523,28157,0.016801999881863594,98990,0.0,70833
CAND_0094564,25533,0.02842620015144348,96266,0.0,70733
CAND_0098212,28107,0.01690000109374523,98768,0.0,70661
CAND_0094356,25630,0.027724001556634903,96113,0.0,70483
CAND_0097235,27703,0.017782000824809074,98107,0.0,70404
CAND_0099759,29609,0.014940000139176846,99838,0.0,70229
CAND_0094021,25672,0.027527999132871628,95873,0.0,70201
CAND_0099175,29507,0.015038000419735909,99427,0.0,69920
CAND_0097623,28457,0.016312001273036003,98362,0.0,69905
CAND_0094876,26654,0.021674999967217445,96485,0.0,69831
CAND_0096031,27659,0.017880000174045563,97288,0.0,69629
CAND_0095809,27658,0.017880000174045563,97139,0.0,69481
CAND_0099554,30216,0.014254000037908554,99689,0.0,69473
CAND_0097911,29147,0.015429999679327011,98563,0.0,69416
CAND_0099432,30215,0.014254000037908554,99606,0.0,69391
CAND_0094986,27236,0.01929772086441517,96564,0.0,69328
CAND_0094957,27293,0.01905599981546402,96541,0.0,69248
CAND_0097365,28947,0.015626000240445137,98189,0.0,69242
CAND_0097052,28801,0.015822000801563263,97989,0.0,69188
CAND_0098815,30110,0.014282720163464546,99181,0.0,69071
CAND_0097743,29424,0.015135999768972397,98446,0.0,69022
CAND_0098417,29916,0.014646000228822231,98915,0.0,68999
CAND_0094079,26939,0.020338481292128563,95910,0.0,68971
CAND_0095361,27862,0.017389999702572823,96832,0.0,68970
CAND_0098628,30109,0.014282720163464546,99063,0.0,68954
CAND_0096028,28411,0.016363295912742614,97285,0.0,68874
CAND_0094891,27657,0.017880000174045563,96499,0.0,68842
CAND_0099998,31178,0.012621999718248844,99998,0.0,68820
CAND_0094894,27702,0.017782000824809074,96502,0.0,68800
CAND_0093121,26587,0.021967999637126923,95241,0.0,68654
CAND_0098148,30088,0.01445000059902668,98723,0.0,68635
CAND_0099136,30770,0.013372000306844711,99401,0.0,68631
CAND_0091367,25425,0.029277000576257706,94049,0.0,68624
CAND_0095795,28516,0.016214000061154366,97129,0.0,68613
