candidate_id,rank_cur,final_score_cur,rank_prev,final_score_prev,rank_move
CAND_0000055,72,0.0,39380,0.0,39308
CAND_0000054,71,0.0,39379,0.0,39308
CAND_0000076,86,0.0,39394,0.0,39308
CAND_0000075,85,0.0,39393,0.0,39308
CAND_0000052,69,0.0,39377,0.0,39308
CAND_0000053,70,0.0,39378,0.0,39308
CAND_0000051,68,0.0,39376,0.0,39308
CAND_0000050,67,0.0,39375,0.0,39308
CAND_0000047,64,0.0,39372,0.0,39308
CAND_0000046,63,0.0,39371,0.0,39308
CAND_0000049,66,0.0,39374,0.0,39308
CAND_0000048,65,0.0,39373,0.0,39308
CAND_0000041,60,0.0,39368,0.0,39308
CAND_0000040,59,0.0,39367,0.0,39308
CAND_0000039,58,0.0,39366,0.0,39308
CAND_0000037,57,0.0,39365,0.0,39308
CAND_0000036,56,0.0,39364,0.0,39308
CAND_0000033,55,0.0,39363,0.0,39308
CAND_0000045,62,0.0,39370,0.0,39308
CAND_0000044,61,0.0,39369,0.0,39308
CAND_0000028,53,0.0,39361,0.0,39308
CAND_0000029,54,0.0,39362,0.0,39308
CAND_0000025,52,0.0,39360,0.0,39308
CAND_0000023,51,0.0,39359,0.0,39308
CAND_0000017,48,0.0,39356,0.0,39308
CAND_0000016,47,0.0,39355,0.0,39308
CAND_0000019,50,0.0,39358,0.0,39308
CAND_0000018,49,0.0,39357,0.0,39308
CAND_0000012,45,0.0,39353,0.0,39308
CAND_0000013,46,0.0,39354,0.0,39308
CAND_0000009,44,0.0,39352,0.0,39308
CAND_0000008,43,0.0,39351,0.0,39308
CAND_0000006,41,0.0,39349,0.0,39308
CAND_0000007,42,0.0,39350,0.0,39308
CAND_0000003,39,0.0,39347,0.0,39308
CAND_0000005,40,0.0,39348,0.0,39308
CAND_0000089,93,0.0,39401,0.0,39308
CAND_0000090,94,0.0,39402,0.0,39308
CAND_0000077,87,0.0,39395,0.0,39308
CAND_0000078,88,0.0,39396,0.0,39308
CAND_0000058,73,0.0,39381,0.0,39308
CAND_0000059,74,0.0,39382,0.0,39308
CAND_0000060,75,0.0,39383,0.0,39308
CAND_0000061,76,0.0,39384,0.0,39308
CAND_0000062,77,0.0,39385,0.0,39308
CAND_0000063,78,0.0,39386,0.0,39308
CAND_0000064,79,0.0,39387,0.0,39308
CAND_0000066,80,0.0,39388,0.0,39308
CAND_0000067,81,0.0,39389,0.0,39308
CAND_0000070,82,0.0,39390,0.0,39308
